CAND_NAME,CAND_STATE,OUTCOME,STAGE,NOTES
"O'DONNELL, JUSTIN F",NH,Lost,General,Libertarian candidate; lost general to Shaheen
"SHAHEEN, JEANNE",NH,Won,General,Incumbent Democrat; won re-election
"MESSNER, BRYANT 'CORKY' S.",NH,Lost,General,Won R primary; lost general to Shaheen
"BOLDUC, DONALD C.",NH,Lost,Primary,Lost Republican primary to Messner (43% vs 51%)
"DURBIN, RICHARD J.",IL,Won,General,Incumbent Democrat; won re-election
"CURRAN, MARK",IL,Lost,General,Won R primary; lost general to Durbin
"MALOUF, DANIEL",IL,Lost,Primary,Lost Republican primary to Curran
"HUBBARD, PEGGY",IL,Lost,Primary,Lost Republican primary to Curran
"TARTER, THOMAS",IL,Lost,Primary,Lost Republican primary to Curran
"ERNST, JONI K",IA,Won,General,Incumbent Republican; won re-election
"GREENFIELD, THERESA",IA,Lost,General,Won D primary (47.8%); lost general to Ernst
"FRANKEN, MICHAEL",IA,Lost,Primary,Lost Democratic primary to Greenfield (25.0%)
"GRAHAM, KIMBERLY",IA,Lost,Primary,Lost Democratic primary to Greenfield (15.0%)
"MAURO, EDDIE J",IA,Lost,Primary,Lost Democratic primary to Greenfield (11.0%)
"STEWART, RICK",IA,Lost,General,Libertarian nominee; lost general to Ernst
"HERZOG, SUZANNE",IA,Lost,General,Independent candidate; lost general to Ernst
"MCCONNELL, MITCH",KY,Won,General,Incumbent Republican; won re-election
"MCGRATH, AMY",KY,Lost,General,Won D primary; lost general to McConnell
"BARRON, STEPHEN BRADLEY",KY,Lost,Primary,Lost Democratic primary to McGrath
"BROIHIER, MICHAEL GEORGE",KY,Lost,Primary,Lost Democratic primary to McGrath
"CASSIDY, WILLIAM M.",LA,Won,General,Incumbent Republican; won outright in jungle primary with ~59%
"PERKINS, ADRIAN",LA,Lost,General,Lost Louisiana jungle primary/general to Cassidy
"WENSTRUP, PETER",LA,Lost,General,Lost Louisiana jungle primary/general to Cassidy
"MURPHY, DUSTIN",LA,Lost,General,Lost Louisiana jungle primary/general to Cassidy
"LUJAN, BEN RAY",NM,Won,General,Won D primary; won open-seat general (Udall retired)
"RONCHETTI, MARK V.",NM,Lost,General,Won R primary; lost general to Lujan
"TOULOUSE OLIVER, MAGGIE",NM,Lost,Primary,Lost Democratic primary to Lujan
"CLARKSON, GAVIN",NM,Lost,Primary,Lost Republican primary to Ronchetti
"MARTINEZ, ELISA",NM,Lost,Primary,Lost Republican primary to Ronchetti
"WALSH, BOB",NM,Lost,Primary,Lost primary (filed with FEC; did not make general ballot)
"RICH, MICK",NM,Lost,Primary,2018 R nominee; lost 2020 Republican primary to Ronchetti
"UDALL, TOM",NM,N/A,N/A,Incumbent who retired; did not seek re-election in 2020
"MARKEY, EDWARD J. SEN.",MA,Won,General,"Incumbent Democrat; beat Kennedy in primary, won general"
"O'CONNOR, KEVIN J",MA,Lost,General,Won R primary (59.7%); lost general to Markey
"KENNEDY, JOSEPH P III",MA,Lost,Primary,Lost Democratic primary to Markey
