CAND_NAME,CAND_OFFICE_ST,OUTCOME,STAGE,NOTES
"MURKOWSKI, LISA",AK,Won,General,Incumbent R; won RCV general (53.7% final round) over Tshibaka
"TSHIBAKA, KELLY",AK,Lost,General,R; advanced through Top-4 primary; eliminated in RCV final round (46.3%)
"CHESBRO, PATRICIA",AK,Lost,General,D; advanced through Top-4 primary; eliminated in RCV round 2 (10.7%)
"GUNGURSTEIN, SHOSHANA",AK,Lost,Primary,"N; received 0.45% in Top-4 primary, did not advance to general"
"GRAY-JACKSON, ELVI",AK,Lost,Primary,"D; received small % in Top-4 primary, did not advance to general"
"BRITT, KATIE BOYD",AL,Won,General,Won R primary (44.75%) and runoff (63.02%); won general (66.62%)
"BROOKS, MO",AL,Lost,Primary,Lost R primary runoff to Britt (36.98%)
"BOYD, WILLIE EUGENE DR. JR.",AL,Lost,General,Won D primary (63.72%); lost general (30.88%)
"DURANT, MICHAEL",AL,Lost,Primary,Lost R primary first round (23.32%); did not advance to runoff
"TAYLOR, JESSICA",AL,Withdrew,Primary,Filed with FEC; withdrew from R primary before vote (not in official results)
"BLANCHARD, LYNDA",AL,Withdrew,Primary,Filed with FEC; withdrew from R primary before vote (not in official results)
"BOOZMAN, SEN. JOHN",AR,Won,General,Incumbent R; won general (65.73%)
"BEQUETTE, JAKE MR.",AR,Lost,Primary,Lost R primary to Boozman (20.66%)
"MORGAN, JAN",AR,Lost,Primary,Lost R primary to Boozman (18.98%)
"KELLY, MARK",AZ,Won,General,Incumbent D; won general (51.39%)
"MASTERS, BLAKE",AZ,Lost,General,Won R primary (40.24%); lost general (46.51%)
"LAMON, JIM MR",AZ,Lost,Primary,Lost R primary to Masters (28.10%)
"BRNOVICH, MARK MR.",AZ,Lost,Primary,Lost R primary to Masters (17.72%)
"MCGUIRE, MICHAEL MICK",AZ,Lost,Primary,Lost R primary to Masters (8.74%)
"OLSON, JUSTIN",AZ,Lost,Primary,Lost R primary to Masters (5.16%)
"VICTOR, MARC J",AZ,Lost,General,Libertarian; lost general (2.09%)
"PADILLA, ALEX",CA,Won,General,Incumbent D; won both full-term and unexpired-term generals
"MEUSER, MARK",CA,Lost,General,R; advanced as top-2 in both CA primaries; lost both generals (~39%)
"BRADLEY, JAMES P.",CA,Lost,Primary,R; lost CA top-2 primary (6.94% unexpired term primary; did not advance)
"ELIST, JON",CA,Lost,Primary,R; ran in both primaries (5.93% and 4.21%); did not advance in either
"WILLIAMS, CORDIE LEE DR.",CA,Lost,Primary,R; lost CA full-term primary (6.89%); did not advance to general
"LUCERO, ROBERT GEORGE MR JR",CA,Lost,Primary,R; lost CA full-term primary (0.78%); did not advance to general
"BENNET, MICHAEL F.",CO,Won,General,Incumbent D; won general (55.88%)
"O'DEA, JOSEPH MATTHEW",CO,Won,Primary,Won R primary (54.44%); lost general (41.26%)
"HANKS, RON",CO,Lost,Primary,Lost R primary to O'Dea (45.51%)
"FLORA, DEBORAH",CO,Withdrew,Primary,Filed with FEC; withdrew before CO R primary (not in official results)
"BREMER, ELI",CO,Withdrew,Primary,Filed with FEC; withdrew before CO R primary (not in official results)
"CAMPANA, GINO",CO,Withdrew,Primary,Filed with FEC; withdrew before CO primary (not in official results)
"YU, PETER",CO,Withdrew,Primary,Filed with FEC; withdrew before CO primary (not in official results)
"BLUMENTHAL, RICHARD",CT,Won,General,Incumbent D; won general (57.45%)
"LEVY, LEORA",CT,Lost,General,Won R primary (50.63%); lost general (42.54%)
"KLARIDES, THEMIS",CT,Lost,Primary,Lost R primary to Levy (39.98%; was convention-endorsed candidate)
"LUMAJ, PJERIN (PETER)",CT,Lost,Primary,Lost R primary to Levy (9.39%)
"RUBIO, MARCO",FL,Won,General,Incumbent R; won general (57.68%) unopposed in R primary
