CAND_NAME,CAND_STATE
"O'DONNELL, JUSTIN F",NH
"CURRAN, MARK",IL
"ERNST, JONI K",IA
"MCCONNELL, MITCH",KY
"PERKINS, ADRIAN",LA
"WENSTRUP, PETER",LA
"RONCHETTI, MARK V.",NM
"O'CONNOR, KEVIN J",MA
"WINFIELD, RICHARD DIEN",GA
"COONS, CHRISTOPHER A.",DE
"HAGERTY, BILL",TN
"MALOUF, DANIEL",IL
"GRISSOM, BARRY",KS
"GIDEON, SARA",ME
"ESPY, MICHAEL",MS
"FRANKEN, MICHAEL",IA
"MARSHALL, ROGER W",KS
"PETERS, GARY",MI
"MEHTA, RIKIN",NJ
"JAMES, JOHN",MI
"DAINES, STEVE",MT
"TILLIS, THOM R. SEN.",NC
"COTTON, THOMAS",AR
"SULLIVAN, DAN",AK
"BULLOCK, STEVE",MT
"PERKINS, JO RAE",OR
"BARRON, STEPHEN BRADLEY",KY
"ROUNDS, MIKE",SD
"BOLLIER, BARBARA",KS
"GREENFIELD, THERESA",IA
"CORNYN, JOHN SEN",TX
"BEN DAVID, MERAV",WY
"GROSS, AL DR.",AK
"WHITFIELD, DANIEL ALLEN",AR
"HERZOG, SUZANNE",IA
"LUMMIS, CYNTHIA MARIE MRS.",WY
"BAER, DAN",CO
"LUJAN, BEN RAY",NM
"CASSIDY, WILLIAM M.",LA
"HICKENLOOPER, JOHN W.",CO
"GRAHAM, LINDSEY O.",SC
"MCGRATH, AMY",KY
"DURBIN, RICHARD J.",IL
"GADE, DANIEL MACARTHUR MR.",VA
"CUNNINGHAM, CAL",NC
"GARDNER, CORY",CO
"JONES, DOUG",AL
"BOOKER, CORY A.",NJ
"MARKEY, EDWARD J. SEN.",MA
"SASSE, BENJAMIN E",NE
"RISCH, JAMES E",ID
"BOLDUC, DONALD C.",NH
"MERKLEY, JEFFREY ALAN",OR
"CAPITO, SHELLEY MOORE",WV
"HARRISON, JAIME",SC
"INHOFE, JAMES M. SEN.",OK
"HEGAR, MARY JENNINGS MJ",TX
"TUBERVILLE, THOMAS H",AL
"BRADSHAW, MARQUITA",TN
"MCSALLY, MARTHA",AZ
"REED, JOHN F.",RI
"STEWART, RICK",IA
"OSSOFF, T. JONATHAN",GA
"BUCKLEY, ALLEN",GA
"BROYLES, ABBY",OK
"KELLY, MARK",AZ
"SAVAGE, LISA JILL",ME
"AYYADURAI, SHIVA DR",MA
"LEWIS, JASON",MN
"SHAHEEN, JEANNE",NH
"PERDUE, DAVID",GA
"HYDE-SMITH, CINDY",MS
"COLLINS, SUSAN M.",ME
"AHLERS, DAN",SD
"WARNER, MARK ROBERT",VA
"JORDAN, PAULETTE",ID
"MESSNER, BRYANT 'CORKY' S.",NH
"SMITH, TINA",MN
"WITZKE, LAUREN ELENA",DE
"SWEARENGIN, PAULA JEAN",WV
"ROMANOFF, ANDREW",CO
"SESSIONS, JEFFERSON B",AL
"EDWARDS, AMANDA",TX
"SWEET, BETSY",ME
"WARREN, MICHELLE FERRIGNO",CO
"NEUMANN, CORA",MT
"SETHI, DR. MANNY",TN
"TOMLINSON, TERESA PIKE",GA
"DEMARTINO, JAMES",DE
"MACKLER, JAMES",TN
"JANICEK, CHRIS EDWARD MR",NE
"KENNEDY, JOSEPH P III",MA
"JACKSON, DEBORAH A",GA
"FAPARUSI, YOMI DR. SR",TN
"MAURO, EDDIE J",IA
"TAYLOR, SCOTT W.",VA
"TOULOUSE OLIVER, MAGGIE",NM
"WEST, ROYCE",TX
"CLARKSON, GAVIN",NM
"MARTINEZ, ELISA",NM
"WAGLE, SUSAN",KS
"TZINTZUN RAMIREZ, CRISTINA",TX
"MAZZUCHELLI, EDWARD JAMES",MA
"BROIHIER, MICHAEL GEORGE",KY
"BYRNE, BRADLEY ROBERTS",AL
"KOBACH, KRIS",KS
"WALSH, BOB",NM
"SINGH, HIRSH V",NJ
"ZORNIO, PATRICIA ANNE",CO
"MCKENNON, KERRY DOUGLAS",TX
"MOONEY, ARNOLD",AL
"ENZI, MICHAEL B",WY
"JOHNSTON, MICHAEL C",CO
"MERRILL, JOHN H",AL
"MANSFIELD, ERIC",NC
"LINDSTROM, DAVID ALAN",KS
"COOPER, MICHAEL E PASTOR",TX
"HUBBARD, PEGGY",IL
"UDALL, TOM",NM
"TARTER, THOMAS",IL
"LATURNER, JAKE",KS
"WALSH, JOHN",CO
"RIGGS AMICO, SARAH",GA
"STOVALL, DWAYNE",TX
"WATERS, ALLEN",RI
"BURKE, DANIEL C. MR.",NJ
"MURPHY, DUSTIN",LA
"GRAHAM, KIMBERLY",IA
"LAJEUNESSE, ROSS",ME
"BELL, ROBERT CHRISTOPHER MR.",TX
"HAMILTON, BOB",KS
"MOORE, ROY STEWART",AL
"MCLEOD, ELIZABETH D",TN
"PEMBERTON, STEVE",MA
"WILLIAMS, ANGELA",CO
"RICH, MICK",NM
"MEISSNER, STUART",NJ
"FAULKNER, OMARI",VA
"TUCKER, GARLAND S III",NC
"SHORT, ROBERT G",WY
"FERNANDEZ, VERONICA",NJ
"BORGLUM, SCYLLER",SD
"NESBIT, APRIL",OK
"ALEXANDER, LAMAR",TN
"ROBERTS, PAT",KS
