CAND_NAME,CAND_OFFICE_ST
"HASSAN, MARGARET WOOD",NH
"WYDEN, RONALD LEE",OR
"MURKOWSKI, LISA",AK
"FRANKEN, MICHAEL T",IA
"O'DEA, JOSEPH MATTHEW",CO
"BOOKER, CHARLES",KY
"PINION, JOSEPH III",NY
"BUDD, THEODORE P",NC
"RYAN, TIMOTHY",OH
"SCHUMER, CHARLES E.",NY
"MIXON, LUKE",LA
"TSHIBAKA, KELLY",AK
"DUCKWORTH, L. TAMMY",IL
"SMILEY, TIFFANY",WA
"MORAN, JERRY",KS
"SALVI, KATHY RAYE",IL
"BRITT, KATIE BOYD",AL
"RUBIO, MARCO",FL
"LEVY, LEORA",CT
"GRASSLEY, CHARLES E",IA
"KENNEDY, JOHN NEELY",LA
"WELCH, PETER",VT
"BUSCH VALENTINE, TRUDY",MO
"MCMULLIN, DAVID EVAN",UT
"THUNE, JOHN R.",SD
"PADILLA, ALEX",CA
"CORTEZ MASTO, CATHERINE",NV
"VANCE, J D",OH
"CRAPO, MICHAEL D",ID
"HARTZLER, VICKY J",MO
"MALLOY, GERALD",VT
"WARNOCK, RAPHAEL",GA
"SCHMITT, ERIC",MO
"BENNET, MICHAEL F.",CO
"KELLY, MARK",AZ
"MASTERS, BLAKE",AZ
"MURRAY, PATTY",WA
"PERKINS, JO RAE",OR
"FETTERMAN, JOHN KARL",PA
"BARNES, MANDELA",WI
"YOUNG, TODD CHRISTOPHER",IN
"PAUL, RAND",KY
"MEUSER, MARK",CA
"SARE, DIANE",NY
"LAXALT, ADAM",NV
"JOHNSON, RON HAROLD MR.",WI
"CHESBRO, PATRICIA",AK
"MCDERMOTT, THOMAS M. JR",IN
"BEASLEY, CHERI",NC
"DEMINGS, VAL",FL
"OZ, MEHMET DR",PA
"SCOTT, TIMOTHY E.",SC
"WALKER, HERSCHEL MR.",GA
"LANKFORD, JAMES PAUL",OK
"HOEVEN, JOHN",ND
"MATTHEWS, KRYSTLE",SC
"BOLDUC, DONALD C.",NH
"VAN HOLLEN, CHRIS",MD
"BENGS, BRIAN L",SD
"SCHATZ, BRIAN",HI
"NOLAN, CHRISTINA",VT
"HOLLAND, MARK R. REV.",KS
"SCENIAK, JAMES",IN
"KLARIDES, THEMIS",CT
"CHRISTIANSEN, KATRINA",ND
"LEWIS, MICHELLE ESTELLE",NC
"KUNCE, LUCAS",MO
"HOH, MATTHEW PATRICK MR",NC
"BOOZMAN, SEN. JOHN",AR
"LEE, MIKE",UT
"ROTH, DAVID JORDAN",ID
"NELSON, TOM",WI
"MCGUIRE, MICHAEL MICK",AZ
"SHANNON, T.W.",OK
"CLEVELAND, SCOTT OH",ID
"BOYD, WILLIE EUGENE DR. JR.",AL
"MISIGOY, DENNIS",FL
"HORN, MADISON",OK
"BLUMENTHAL, RICHARD",CT
"BRNOVICH, MARK MR.",AZ
"MCCORMICK, DAVE",PA
"CHAMBERS, GARY JR.",LA
"PARNELL, RICHARD SEAN",PA
"ARKOOSH, VALERIE",PA
"SANDS, CARLA H",PA
"TIMKEN, JANE",OH
"BROOKS, MO",AL
"BLACK, GARY",GA
"LONG, BILLY",MO
"SADDLER, LATHAM",GA
"MCCRORY, PATRICK LLOYD",NC
"GREITENS, ERIC",MO
"LAMON, JIM MR",AZ
"ISOM, ALLY",UT
"WALKER, BRADLEY MARK",NC
"BATTINO, GILLIAN M.D.",WI
"MULLIN, MARKWAYNE",OK
"BARTOS, JEFFREY A",PA
"BREMER, ELI",CO
"LASRY, ALEX",WI
"SIFTON, SCOTT MR.",MO
"FINKENAUER, ABBY",IA
"EDWARDS, BECKY",UT
"LAMB, CONOR",PA
"BEQUETTE, JAKE MR.",AR
"OLSON, JUSTIN",AZ
"LAHMEYER, JACKSON RHODES",OK
"GIBBONS, MICHAEL",OH
"WATKINS, RICHARD LEE DR.",NC
"NGUYEN, QUOC TUAN MR.",FL
"HARPER, MORGAN",OH
"ORTS, ERIC",PA
"DOLAN, MATT",OH
"STREET, SHARIF",PA
"GRANT, STEVEN B",FL
"FLORA, DEBORAH",CO
"BARNETTE, KATHY",PA
"EASTMAN, MAJORIE K",NC
"TAYLOR, JESSICA",AL
"MORSE, CHUCK",NH
"HARBICK, DARIN",OR
"KAUFFMAN, JEREMY",NH
"WILLIAMS, CORDIE LEE DR.",CA
"SMITH, KEVIN H.",NH
"DURANT, MICHAEL",AL
"ELIST, JON",CA
"SCHATZ, DAVE",MO
"TODER, SPENCER ROSS",MO
"BOCHETTO, GEORGE",PA
"MANDEL, JOSHUA A.",OH
"MANSHARAMANI, VIKRAM",NH
"WOOD, JOHN FREDERICK",MO
"NIEDERBERGER, DANIEL MR",IN
"COESTER, C. MARK MR",VT
"LUMAJ, PJERIN (PETER)",CT
"MCCLOSKEY, MARK T",MO
"BLUNT, ROY",MO
"BLANCHARD, LYNDA",AL
"LEAHY, PATRICK J",VT
"PORTMAN, ROB THE HONORA",OH
"KENYATTA, MALCOLM",PA
"YU, PETER",CO
"MCGUIGAN, JOHN DAVID",PA
"LUCERO, ROBERT GEORGE MR JR",CA
"ROSENFELD, MARTIN",PA
"CAMPANA, GINO",CO
"PIERCE, BROCK",VT
"GRELLNER, RANDY",OK
"MORGAN, JAN",AR
"MICI, ALEKSANDER",NY
"DAHM, NATHAN",OK
"CLARK, JOSHUA STEPHEN",GA
"FARIS, STEPHEN I MR",OH
"KING, KELVIN",GA
"RHINEHARDT, KIMREY WOODARD MRS.",NC
"SMITH, MICHELLE LAURENCE MS",MD
"BOLLINGER, JASON",OK
"GRAY-JACKSON, ELVI",AK
"HANKS, RON",CO
"GUNGURSTEIN, SHOSHANA",AK
"CHASE, OLIVER",GA
"REDPATH, WILLIAM MR.",IL
"VICTOR, MARC J",AZ
"STEIB, SYRITA",LA
"BRADLEY, JAMES P.",CA
"LEE, KOU C",WI
"HILL, BRYAN",NY
"EVANS-FRANTZ, ISAAC",VT
"FENTON, BRUCE",NH
"GRAY, ALEX",OK
"VENABLE, PAUL",MO
"BLEVINS, KENNETH",OK
"BONOAN, FEENA",HI
"HOLT, MIKE",OH
"BAUMLIN, KEVIN DR.",PA
