,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],7.973,0.306,7.404,8.535,0.009,0.012,1599.028,1188.053,1.001
beta[1],0.561,0.056,0.462,0.673,0.001,0.001,1973.588,2285.371,1.001
beta[2],0.333,0.061,0.222,0.445,0.001,0.001,2964.24,2593.929,1.0
beta[3],0.892,0.054,0.796,0.996,0.001,0.001,2322.362,2349.144,1.0
beta[4],-0.16,0.048,-0.252,-0.072,0.001,0.001,2764.514,2380.488,1.001
beta[5],0.42,0.042,0.345,0.499,0.001,0.001,2816.078,2581.748,1.001
log_sigma2,-1.04,0.459,-1.848,-0.144,0.014,0.008,1017.672,976.095,1.0
nugget_ratio,3.185,1.455,1.001,5.67,0.04,0.026,1019.228,976.523,1.0
inv_phi,332.501,150.382,111.258,605.049,4.677,5.029,1293.818,1254.763,1.0
sigma2,0.393,0.191,0.118,0.781,0.007,0.006,1017.672,976.095,1.0
tau2,1.018,0.048,0.928,1.109,0.001,0.001,3987.872,3272.647,1.0
phi,0.004,0.001,0.001,0.006,0.0,0.0,1293.818,1254.763,1.0
